U.S. dairy situation at a glance,,,,,,,,,,,,,,,,,,
,,  Units,Annual,,Monthly,,,,,,,,,,,,,
,,,2020 ,2021 ,Sep-21 ,Oct-21 ,Nov-21 ,Dec-21 ,Jan-22 ,Feb-22 ,Mar-22 ,Apr-22 ,May-22 ,Jun-22 ,Jul-22 ,Aug-22 ,Sep-22 ,Oct-22 
Milk production,,,,,,,,,,,,,,,,,,
,Production, Mil. lb.,"223,309","226,258","18,018","18,623","18,015","18,790","19,050","17,540","19,715","19,155","19,763","18,927","19,195","19,035","18,282",NA
,Milk cows ,Thousands,"9,392","9,448","9,405","9,387","9,382","9,373","9,367","9,380","9,404","9,405","9,419","9,415","9,414","9,413","9,411",NA
,Milk per cow,Pounds,"23,777","23,948","1,916","1,984","1,920","2,005","2,034","1,870","2,096","2,037","2,098","2,010","2,039","2,022","1,943",NA
Milk prices,,,,,,,,,,,,,,,,,,
,All milk (at average milk-fat test),$/cwt,18.16,18.54,18.30,19.60,20.70,21.70,24.20,24.70,25.90,27.10,27.30,26.90,25.70,24.30,24.40,NA
,Class III (cheese milk) 3.5% milk fat,$/cwt,18.16,17.08,16.53,17.83,18.03,18.36,20.38,20.91,22.45,24.42,25.21,24.33,22.52,20.10,19.82,21.81
,Class IV (butter-powder milk) 3.5% milk fat,$/cwt,13.49,16.09,16.36,17.04,18.79,19.88,23.09,24.00,24.82,25.31,24.99,25.83,25.79,24.81,24.63,24.96
Wholesale dairy product prices 1,,,,,,,,,,,,,,,,,,
,Butter,$/lb.,1.5808,1.7325,1.7725,1.7746,1.9503,2.0641,2.6130,2.6668,2.7260,2.7694,2.7360,2.9232,2.9461,2.9792,3.1156,3.1911
,"Cheddar cheese, 40-pound blocks",$/lb.,2.0442,1.7309,1.7761,1.8070,1.7605,1.8633,1.9787,1.9091,2.0748,2.2759,2.3798,2.3214,2.1622,1.9484,1.8835,2.0453
,"Cheddar cheese, 500-pound barrels 2",$/lb.,1.7745,1.5956,1.4873,1.7011,1.7272,1.6263,1.7951,1.8746,2.0066,2.2759,2.4187,2.3472,2.2054,1.9698,1.9830,2.2210
,Dry whey,$/lb.,0.3621,0.5744,0.5336,0.5447,0.5825,0.6391,0.7087,0.7800,0.7943,0.7394,0.6707,0.6161,0.5482,0.5045,0.4902,0.4857
,Nonfat dry milk,$/lb.,1.0417,1.2693,1.2816,1.3598,1.4769,1.5471,1.6488,1.7284,1.7954,1.8314,1.8095,1.8156,1.8001,1.6690,1.5803,1.5819
Consumer price indexes,,,,,,,,,,,,,,,,,,
,All products,yoy % chg,1.2,4.7,5.4,6.2,6.8,7.0,7.5,7.9,8.5,8.3,8.6,9.1,8.5,8.3,8.2 ,7.7 
,All food,yoy % chg,3.4,3.9,4.6,5.3,6.1,6.3,7.0,7.9,8.8,9.4,10.1,10.4,10.9,11.4,11.2 ,10.9 
,Dairy products,yoy % chg,4.4,1.4,0.6,1.7,1.6,1.6,3.1,5.2,7.0,9.1,11.8,13.5,14.9,16.2,15.9 ,15.5 
,Fluid milk,yoy % chg,5.5,3.4,1.8,4.3,4.6,4.2,6.8,11.2,13.3,14.7,15.9,16.4,15.6,17.0,15.2 ,14.5 
,Cheese,yoy % chg,5.3,0.2,-1.0,-0.6,-0.3,-0.6,0.2,1.9,3.1,6.5,8.7,9.7,12.6,13.5,13.4 ,12.4 
,Butter,yoy % chg,0.8,-0.1,-1.3,0.9,2.4,0.8,3.7,5.5,12.5,16.0,15.9,21.3,22.2,24.6,26.6 ,26.7 
Dairy product output,,,,,,,,,,,,,,,,,,
,Butter ,Mil. lb.,"2,146","2,072",144,164,156,180,194,183,202,181,180,160,152,143,142,NA
,American cheese,Mil. lb.,"5,338","5,568",455,461,450,470,472,443,474,468,481,461,466,453,443,NA
,Other-than-American cheese,Mil. lb.,"7,901","8,139",680,691,681,707,700,663,736,691,703,691,685,697,696,NA
,Frozen products 3 ,Mil. gal.,"1,298","1,258",97,95,86,87,84,93,114,110,108,116,106,114,103,NA
