AVERAGE_YEAR,COUNTY,ELECTORAL_DIVISION,NUMBER_OF_HERDS,AVERAGE_NUMBER_CATTLE,AVERAGE_CATTLE_BEEF,AVERAGE_CATTLE_DAIRY,AVERAGE_CATTLE_AGE_0_3MTH,AVERAGE_CATTLE_AGE_3_6MTH,AVERAGE_CATTLE_AGE_6_12MTH,AVERAGE_CATTLE_AGE_12_18MTH,AVERAGE_CATTLE_AGE_18_24MTH,AVERAGE_CATTLE_AGE_24_36MTH,AVERAGE_CATTLE_AGE_36MTH_PLUS,,,,,,
2020,CARLOW,AGHA,18,1222.5,837,385.5,117.25,124.25,202.25,190.5,186.25,215.75,186.25,,,,,,
2020,CARLOW,BALLINACARRIG,23,1598.75,1051.25,547.5,123.75,125,250,264.25,169,191,475.75,,,,,,
2020,CARLOW,BALLINTEMPLE,36,3132.75,1647,1485.75,221.75,228,450,395.75,455.25,459,923,,,,,,https://data.gov.ie/dataset/dafm-2020-average-beef-and-dairy-herds-per-electoral-division
2020,CARLOW,BALLON,16,977.75,669.5,308.25,161.75,101.5,140.5,134.25,143.75,101.5,194.5,,,,,,
2020,CARLOW,BALLYELLIN,24,1721.25,1092,629.25,129,130.5,284.25,304.5,233,179.75,460.25,,,,,,
2020,CARLOW,BALLYMOON,19,1890.25,1471.75,418.5,144.75,143.25,278.75,300.5,266.75,266.75,489.5,,,,,,
2020,CARLOW,BALLYMURPHY,35,2442.5,1433.75,1008.75,211.25,193.25,354.5,315.75,241.25,236.75,889.75,,,,,,
2020,CARLOW,BORRIS,29,2002,1327,675,184.5,181.25,365.5,301,197.25,161,611.5,,,,,,
2020,CARLOW,BURTONHALL,9,676.25,486.25,190,24.25,31.5,79,123.25,210.5,118,89.75,,,,,,
2020,CARLOW,CARLOW,20,1508.75,907.75,601,86.75,80.75,186.75,275.5,340.75,197.5,340.75,,,,,,
2020,CARLOW,CLOGRENNAN,26,2396.5,1539.25,857.25,146.25,183.5,412.5,405.5,351.75,285,612,,,,,,
2020,CARLOW,CLONEGALL,39,2652.5,2038.25,614.25,217.5,255,512.25,525.5,400.75,314.25,427.25,,,,,,
2020,CARLOW,CLONMORE,54,2589,2054.75,534.25,199.75,220.75,427.75,424.5,408,297.75,610.5,,,,,,
