STATISTIC,STATISTIC Label,TLIST(A1),Year,C02136V02577,Product,UNIT,VALUE
AJA07,Manufacturing Milk Prices (including VAT),2007,2007,1,"Milk (per litre), actual fat and protein",Euro,0.339
AJA07,Manufacturing Milk Prices (including VAT),2007,2007,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.332
AJA07,Manufacturing Milk Prices (including VAT),2008,2008,1,"Milk (per litre), actual fat and protein",Euro,0.337
AJA07,Manufacturing Milk Prices (including VAT),2008,2008,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.331
AJA07,Manufacturing Milk Prices (including VAT),2009,2009,1,"Milk (per litre), actual fat and protein",Euro,0.232
AJA07,Manufacturing Milk Prices (including VAT),2009,2009,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.226
AJA07,Manufacturing Milk Prices (including VAT),2010,2010,1,"Milk (per litre), actual fat and protein",Euro,0.308
AJA07,Manufacturing Milk Prices (including VAT),2010,2010,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.299
AJA07,Manufacturing Milk Prices (including VAT),2011,2011,1,"Milk (per litre), actual fat and protein",Euro,0.353
AJA07,Manufacturing Milk Prices (including VAT),2011,2011,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.341
AJA07,Manufacturing Milk Prices (including VAT),2012,2012,1,"Milk (per litre), actual fat and protein",Euro,0.324
AJA07,Manufacturing Milk Prices (including VAT),2012,2012,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.313
AJA07,Manufacturing Milk Prices (including VAT),2013,2013,1,"Milk (per litre), actual fat and protein",Euro,0.396
AJA07,Manufacturing Milk Prices (including VAT),2013,2013,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.38
AJA07,Manufacturing Milk Prices (including VAT),2014,2014,1,"Milk (per litre), actual fat and protein",Euro,0.385
AJA07,Manufacturing Milk Prices (including VAT),2014,2014,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.368
AJA07,Manufacturing Milk Prices (including VAT),2015,2015,1,"Milk (per litre), actual fat and protein",Euro,0.303
AJA07,Manufacturing Milk Prices (including VAT),2015,2015,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.284
AJA07,Manufacturing Milk Prices (including VAT),2016,2016,1,"Milk (per litre), actual fat and protein",Euro,0.277
AJA07,Manufacturing Milk Prices (including VAT),2016,2016,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.259
AJA07,Manufacturing Milk Prices (including VAT),2017,2017,1,"Milk (per litre), actual fat and protein",Euro,0.372
AJA07,Manufacturing Milk Prices (including VAT),2017,2017,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.346
AJA07,Manufacturing Milk Prices (including VAT),2018,2018,1,"Milk (per litre), actual fat and protein",Euro,0.35
AJA07,Manufacturing Milk Prices (including VAT),2018,2018,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.327
AJA07,Manufacturing Milk Prices (including VAT),2019,2019,1,"Milk (per litre), actual fat and protein",Euro,0.339
AJA07,Manufacturing Milk Prices (including VAT),2019,2019,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.311
AJA07,Manufacturing Milk Prices (including VAT),2020,2020,1,"Milk (per litre), actual fat and protein",Euro,0.345136459
AJA07,Manufacturing Milk Prices (including VAT),2020,2020,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.313257607
AJA07,Manufacturing Milk Prices (including VAT),2021,2021,1,"Milk (per litre), actual fat and protein",Euro,0.40638799
AJA07,Manufacturing Milk Prices (including VAT),2021,2021,2,"Milk (per litre), 3.7% fat and 3.3% protein",Euro,0.366674016
