STATISTIC,STATISTIC Label,TLIST(M1),Month,C02064V02491,Type of Milk,UNIT,VALUE
AKM02,Milk Sales (Dairy) for Human Consumption,198001,1980 January,1,All Milk,Million Litres,38.2
AKM02,Milk Sales (Dairy) for Human Consumption,198001,1980 January,12,Whole Milk,Million Litres,38.2
AKM02,Milk Sales (Dairy) for Human Consumption,198001,1980 January,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198001,1980 January,14,Skimmed Milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198001,1980 January,15,Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198002,1980 February,1,All Milk,Million Litres,36.6
AKM02,Milk Sales (Dairy) for Human Consumption,198002,1980 February,12,Whole Milk,Million Litres,36.6
AKM02,Milk Sales (Dairy) for Human Consumption,198002,1980 February,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198002,1980 February,14,Skimmed Milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198002,1980 February,15,Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198003,1980 March,1,All Milk,Million Litres,38.4
AKM02,Milk Sales (Dairy) for Human Consumption,198003,1980 March,12,Whole Milk,Million Litres,38.4
AKM02,Milk Sales (Dairy) for Human Consumption,198003,1980 March,13,Skimmed and Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198003,1980 March,14,Skimmed Milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198003,1980 March,15,Semi-skimmed milk,Million Litres,
AKM02,Milk Sales (Dairy) for Human Consumption,198004,1980 April,1,All Milk,Million Litres,36.8
AKM02,Milk Sales (Dairy) for Human Consumption,198004,1980 April,12,Whole Milk,Million Litres,36.8
AKM02,Milk Sales (Dairy) for Human Consumption,198004,1980 April,13,Skimmed and Semi-skimmed milk,Million Litres,
